question,target,answer_0,answer_1,answer_2,answer_3,answer_4,answer_5,answer_6,answer_7,answer_8,answer_9,answer_10,answer_11,answer_12,answer_13,answer_14,answer_15,answer_16,answer_17,answer_18,answer_19,answer_20,answer_21,answer_22,answer_23,answer_24,answer_25,answer_26,answer_27,answer_28,answer_29,answer_30,answer_31,answer_32,answer_33,answer_34,answer_35,answer_36,answer_37,answer_38,answer_39,answer_40,answer_41,answer_42,answer_43,answer_44,answer_45,answer_46,answer_47,answer_48,answer_49,target_out_of_vocab
"what is the mouth of the schuylkill river
",Delaware River,Pottsville,Potomac,Philadelphia,Philadelphia,Philadelphia,Philadelphia,Philadelphia,Philadelphia,Philadelphia,Philadelphia,Philadelphia,Newtown,Philadelphia,Pittsburgh,Newtown,Philadelphia,Pittsburgh,Newtown,Philadelphia,Pittsburgh,Philadelphia,Pittsburgh,Newtown,Philadelphia,Chester County,Pittsburgh,Newtown,Philadelphia,Pittsburgh,Newtown,Philadelphia,Pittsburgh,Philadelphia,Pittsburgh,Newtown,Philadelphia,Pittsburgh,Philadelphia,Pittsburgh,Philadelphia,Pittsburgh,Chester,Philadelphia County,Philadelphia County,Philadelphia County,Philadelphia County,Philadelphia River Valley,Philadelphia County,Philadelphia River Valley,Philadelphia River,False
"Which genre of book is bin laden: the man who declared war on america?
",biography,novel,historical novel,novel,historical novel,novel,novel,historical novel,novel,historical novel,novel,novel,novel,thriller,novel,thriller,novel,thriller,novel,thriller,novel,thriller,memoir,novel,thriller,memoir,novel,thriller,memoir,novel,thriller,biography,history,memoir,novel,thriller,biography,history,memoir,novel,thriller,biography,history,historical fiction,historical fiction,historical fiction,historical fiction,novella,novella,novella,novella,False
"Name a model that died due to a car accident
",Melody Gersbach,Yvonne Strahovski,Yvonne Strahovski,Yuri Gagarin,Yvonne Strahovski,Yuri Gagarin,Yvonne Strahovski,Jermaine Dutt,Yuri Gagarin,Yvonne Strahovski,John Cleese,Yvonne Strahovsky,Yuri Gagarin,Yvonne Strahovsky,Yuri Gagarin,Ira Levin,Ira Levinson,Yvonne Strahovsky,Jean-Paul Dubuc,Ira Levin,Jermaine Jones,Jean-Paul Dupuy,Yvonne Strahovsky,Ira Levinson,Jean-Paul Dubuc,Louise Bélanger,Yvonne Strahovsky,Jermaine Jones,Jean-Paul Dupuy,John Clemons,Louise Bélanger,Paula Navarro,Jean-Paul Dupuis,Louise Béjart,Louise Xavier,Ira Levinsen,Irwin Adler,Paula Vega,Ira Levins,Jean-Paul Dumas,Irwin Allen,Louise Béjart,Louise Béjartin,Jean-Paul Dubucq,Jean-Paul Dumas,Irwin Adler,Irwin Allen,John Cleesold,Sally Field,Irwin A. Smith,Sasha K.,False
"which position does brian dowling play in football
",quarterback,midfielder,midfielder,midfielder,midfielder,linebacker,midfielder,defender,defender,midfielder,linebacker,defender,midfielder,defender,linebacker,midfielder,defender,goalkeeper,forward,midfielder,defender,goalkeeper,linebacker,forward,midfielder,defender,forward,forward,defender,linebacker,forward,midfielder,defender,forward,linebacker,defender,forward,midfielder,forward,forward,linebacker,forward,midfielder,forward,midfielder,wingback,winger,wingback,wingback,winger,wingback,False
"who was born in catania
",Francesco Giuffrida,Giuseppe Verdi,Giuseppe Verdi,Giuseppe Verdi,Giuseppe Tornatore,Giuseppe Verdi,Giuseppe Verdi,Giuseppe Zanotti,Giuseppe Verdi,Giuseppe Verdaglio,Alessandro Giannotti,Giuseppe Verdaglio,Giuseppe Tornatore,Alessandro Giannotti,Giuseppe Verdi,Alessandro Pisani,Luigi Giacometti,Giuseppe Verda,Giuseppe Verdaglia,Giuseppe Verdi,Giuseppe Verdaghi,Giuseppe Verdaglio,Giuseppe Verda,Giuseppe Zanardi,Giuseppe Zanotti,Giuseppe Verdaglia,Giuseppe Verdi,Giuseppe Verdaghi,Giuseppe Verdaglio,Luigi Giacometti,Luigi Alessandro,Alessandro Pisani,Luca Giuliani,Giuseppe Verdi,Alessandro Alessi,Luigi Giannini,Giuseppe Verda,Giuseppe Verdaglia,Giuseppe Verdazzo,Luca Giannotti,Luigi Alessi,"Giuseppe Tornatore,",Giuseppe Verdaglio,Luigi Alessio,Giuseppe Verda,Giuseppe Verdaghi,Giuseppe Verdaglia,Giuseppe Verdi,Giovanni Battista,"Giuseppe Verdi,",Giuseppe Verdaglia,False
"who discovered 4171 carrasco
",Carolyn S. Shoemaker,Carl Sagan,Jacques Cousteau,Alain Ducasse,Gregor Mendel,Jacques Cousteau,James H. Humphrey,Gregor Mendelssohn,Gregor Mendelsohn,Gregor Mendel,James H. Hutchinson,Xavier de Souza,Jacques Cousteau,Roberto de Sousa,Gregor Mendelsohn,Roberto de Souza,Roberto de Sousa,Carl S. Schmitt,Roberto de Souza,Jacques Lacan,Roberto de Sousa,Juan de la Fuente,Roberto de Souza,John W. Woodruff,Jacques Lacan,Roberto de Sousa,Roberto de Souza,Jacques Lacan,Carl S. Stalling,James H. Watson,Juan de la Cruz,James H. Clarke,Roberto de Sousa,Roberto Clemente,James H. Watson,Roberto de Souza,John W. Smith,James P. Watson,Roberto de Sousa,Roberto de Souza,James H. Watson,John W. Smith,James H. Watson,John W. Woods,John W. Woodroffe,Jacques Lacane,John W. Wood,James H. Watson Jr.,James P. Watson Jr.,James Watson,James H. Clarkson,False
"What is the profession of julio medem?
",film producer,screenwriter,screenwriter,screenwriter,screenwriter,screenwriter,film director,screenwriter,film director,actor,screenwriter,film director,actor,screenwriter,film director,actor,screenwriter,actor,film director,actor,screenwriter,film director,actor,screenwriter,film director,actor,screenwriter,actor,film director,actor,screenwriter,film director,actor,screenwriter,film director,actor,film producer,screenwriter,actor,singer,film director,actor,singer,screenwriter,film producer,film director,actor,singer,screenwriter,actor,singer,False
"who published the video game fable (video game)
",Xbox Game Studios,Sega,Sega,Konami,Sega,Konami,Sega,Nintendo,Konami,Sega,Nintendo,Konami,Electronic Arts,Namco,Nintendo,Sega,Konami,Electronic Arts,Nintendo,Namco,Sega,Nintendo,Konami,Namco,Sega,Nintendo,Konami,Namco,Nintendo,Sega,Konami,Nintendo,Namco,Sega,Nintendo,Namco,Sega,Nintendo Entertainment System,Nintendo,Nintendo,Nintendo Entertainment System,Nintendo,Nintendo Entertainment System,Nintendo,Nintendo,Nintendo Entertainment System,Nintendo,Nintendo Entertainment System,Nintendo,Nintendo Entertainment Systems,Nintendo Entertainment System,False
"what is the nationality of chris gwynn?
",United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United Kingdom,United States of America,United Kingdom,United States of America,Canada,Australia,United Kingdom,Canada,United States of America,United States Of America,Australia,Canada,United Kingdom,False
"Which film did enrico medioli write?
",Ludwig,The Man Who Knew Too Much,La Dolce Vita,Irresistible,The Man Who Knew Too Much,La Dolce Vita,Irresistible,The Man Who Knew Too Much,The Night of the Living Dead,The Death of a Salesman,The Death and Life of a Man,The Death and Life of a Nation,The Man Who Knew Too Much,The Secret Life of Pinocchio,The Man Who Wouldn't Die,The Death and Life of a Man,The Death of a Salesman,Apocalyptica,The Night of the Living Dead,The Death and Life of a Nation,Viva La Vida,The Man in the High Castle,Apocalyptica,Viva La Vida!,Into the Woods,Viva La Vida,The Night of the Living Dead,The Man Who Couldn't,The Man in the High Castle,Irregularities,Viva La Vida!,The Man Who Would Be King,The Man Who Knew Everything,The Secret of the Sword,The Secret of the Sea,The Man Who Knew Too Much,A Little Night Music,Irregularities,Irresistible Force,The Man Who Killed the Dog,The Man Who Knew Everything,The Secret of the Sea,A Little Night Music,Inferno,Irresistible Force,A Little Night Music,The Man Who Knew,La traviata,The Secret of the Sea,The Man Who Knew Everything,A Little Night Music,False
"which film is classified as a silent film
",Love's Prisoner,Idle Hands,Idle Hands,Slaughterhouse Five,The Night of the Living Dead,The Night of the Living Dead,The Black Dahlia,Into the Woods,Into the Wilderness,The Lady and the Tramp,Into the Woods,A Woman's Tale,The Lady of the Lake,Into the Wilderness,A Little Night Music,Into the Woods,The Night of the Living Dead,A Woman's Story,The Night of the Hunter,Into the Wilderness,A Little Night Music,The Last Supper,The Lady of the Lake,The Man Who Knew,A Little Night Music,Idle Hand,The Last of the Wild Flowers,The Last of the Wild Things,The Black Cat,The Night of the Moon,The Little Prince of Egypt,A Little Night Music,The Night Before Christmas,The Man Who Knew,Idle Hand,The Black Dahlias,A Little Night Music,The Little Prince of Egypt,The Black Cat,The Last Supper,A Little Night Music,The Secret of the Black Pearl,The Little Prince,The Night of the Hunter,The Little Prince of Denmark,The Secret of the Sea,The Little Prince,The Secret of the Black Cat,The Lady of the River,The Man Who Knew,The Black Cat,False
"jack warner produced what american film?
",West of Shanghai,The Man Who Knew Too Much,American Idol,The Man in the High Castle,The Great Gatsby,The Man Who Knew Too Much,American Idol,The Dark Side of the Moon,The Dark Knight Rises,The Greatest Showman,The Man Who Couldn't,The Man Who Knew Too Much,American Idol,The Man Who Couldn't,The Greatest Showman,American Idol,The Dark Knight Rises,The Big Lebowski,Daddy's Homecoming,Into the Woods,The Dark Side of the Sun,The Greatest Showman,American Idiot,Daddy's Homecoming,Into the Woods,I'll Be There,Daddy's Home,Into the Wilderness,American Hustle,A Little Night Music,Daddy's Little Secret,The Secret of the Sword,American Idiot,Daddy's Homecoming,Daddy's Home,A Little Night Music,Daddy's Little Secret,The Greatest Showman,The Secret of the Sword,Daddy's Home,American Idiot,A Little Night Music,In Search of Mr. Smith,Into the Wild,A Little Night Music,The Secret of the Sword,A Little Night Music,The Greatest Show on Earth,The Big Sleep,Into the Wild,The Big Short of It,False
"What is the name of an album by superdrag
",Changin' Tires on the Road to Ruin,The Best of Superdrag,Superdrag,The Best of Superdrag,Superdrag,The Best of Superdrag,Superdrag,The Best of Superdrag,Superdrag,Superdrag,The Best of Superdrag,Superdrag,The Best of Superdrag,Superdrag,Superdrag,Superdrag,Superdrag,X-Files,Awakening,Superdrag,X-Factor,X-Files,Superdrag,X-Files,Into the Darkness,Superdrag,X-Files,X-Rays,Superdrag,SuperDrag,Into the Dark,X-Rays,Superdrag,Into the Night,Awakenings,,SuperDrag,X-Ray,X-Rays,Def Jam,X-Ray,SuperDrag,X-Rays,Def Jam,Def Jam XL,X-Ray,Def Jam,X-Rays,'Still',SuperDrag,Def Jam,False
"What genre is the island of disco ensemble
",punk rock,alternative rock,punk rock,alternative rock,punk rock,pop punk,rock music,disco,hard rock,alternative rock,dance-pop,disco,alternative rock,pop punk,pop music,rock music,hard rock,disco,alternative rock,pop music,rock music,alternative rock,pop music,rock music,alternative rock,progressive rock,funk,pop music,rock music,alternative rock,progressive rock,alternative rock,funk,pop music,rock music,progressive rock,funk,pop music,hardcore rock,alternative rock,progressive rock,hardcore rock,hardcore rock,hardcore rock,hardcore rock,disco music,hardcore rock,funk music,punk music,funk music,funk music,False
"which county contains buckley
",Pierce County,Buckeye County,Buckeye County,Bucks County,Los Angeles County,Buckeye County,Bucks County,Los Angeles County,Buckeye County,Bucks County,Montgomery County,Buckeye County,Montgomery County,Los Angeles County,Bucks County,Buckeye County,Washington County,Montgomery County,Los Angeles County,Buckeye County,Orange County,Washington County,Buckeye County,Montgomery County,Lamar County,Bucks County,Los Angeles County,Washington County,Orange County,Buckeye County,Montgomery County,Jackson County,Lamar County,Los Angeles County,Buckeye County,Upton County,Lamar County,Bucks County,San Diego County,Upton County,Lamar County,Buckeye County,Los Angeles County County,Bucks County County,Bucks County County,Los Angeles County County,Bucks County County,Bucks County County,Buckeye county,Los Angeles county,Buckeye county,False
"what artist is signed with warner music group
",Jam Hsiao,John Lennon,Snoop Dogg,Yoko Ono,Snoop Dogg,Yoko Ono,Snoop Dogg,Yoko Ono,David Bowie,Yoko Ono,Def Leppard,David Bowie,Yoko Ono,Def Leppard,Sonny & Cher,David Bowie,Yoko Ono,Xenophon,David Guetta,John Mayer,David Guetta,Xenomorph,Sly Stone,Xena,Axel,Def Jam,Sonny Yen,Axl Rose,Axel,Def Jam Records,Def Jam,Axl Rose,Axel,Axl,Def Jam Records,Xavier,Axl Rose,Axel,Axl,J. Cole,Axl Rose,J-Pop,Axel,Axl,J. Cole,Sally Potter,Axl Rose,Axl,Axl Rose,Axl,Axl,False
"what country is dracula in brianza from
",Italy,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Spain,Argentina,Spain,Argentina,Spain,Argentina,Spain,Argentina,Spain,Argentina,Spain,Argentina,Spain,Argentina,Spain,Mexico,Argentina,Spain,Mexico,Argentina,Spain,Mexico,Argentina,Spain,Mexico,Argentina,Spain,Mexico,Argentina,Spain,Mexico,Argentina,Spain,Mexico,United Kingdom,Mexico City,Mexico State,Spain.,Spain.,Spain.,"Spain,",False
"which country is mark kramer from
",United States of America,United Kingdom,United Kingdom,United Kingdom,Australia,Canada,Australia,United Kingdom,Canada,Australia,Canada,United Kingdom,Australia,Canada,United Kingdom,Australia,Canada,Australia,United Kingdom,Canada,Australia,Canada,United Kingdom,Germany,Australia,Canada,Germany,United Kingdom,Australia,Canada,Germany,Australia,United Kingdom,Canada,Germany,Australia,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,False
"how did janet gaynor pass away?
",pneumonia,myocardial infarction,myocardial infarction,myocardial infarction,myocardial infarction,myocardial infarction,myocardial infarction,myocardial infarction,esophageal cancer,myocardial infarction,esophageal cancer,myocardial infarction,myocardial infarction,esophagitis,myocardial infarction,myocardial infarction,myocardial infarction,cancer,myocardial infarction,cancer,myocardial infarction,cancer,cancer,myocardial infarction,cancer,pneumonia,myeloma,cancer,pneumonia,myocardial infarction,myeloma,cancer,pneumonia,cancer,myocardial infarction,pneumonia,myeloma,cancer,pneumonia,stroke,cancer,pneumonia,myocardial infarction,stroke,cancer,myeloma,myocardial infarction,myocardial infarction,myeloma,myocardial infarction,myocardial infarction,False
"What is fred hawkins's gender?
",male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,males,male,female,males,male,female,males,False
"What sort of music is soundwave 2010
",punk rock,alternative rock,alternative rock,indie rock,alternative rock,punk rock,indie rock,alternative rock,alternative rock,electronic music,alternative rock,pop punk,experimental music,alternative rock,electronic music,progressive metal,experimental music,alternative rock,progressive metal,electronic music,alternative rock,progressive metal,experimental music,electronic music,alternative rock,progressive metal,experimental music,alternative rock,progressive metal,electronic music,alternative rock,experimental music,alternative rock,electronic music,rock music,hardcore metal,experimental music,alternative rock,hardcore metal,electronic music,experimental music,hardcore metal,hardcore metal,experimental music,hardcore metal,indie pop,indie pop,punk metal,progressive metals,alternative rock.,alternative rock.,False
"is a song for summer a romance novel or drama
",romance novel,romance novel,romance novel,romance novel,romance novel,romance novel,romance novel,romance novel,romance novel,romance novel,romance novel,romantic comedy,romance novel,romantic comedy,romance novel,romantic comedy,romance novel,romantic comedy,romance novel,romantic comedy,drama film,romance novel,novel,romantic comedy,novel,drama film,romance novel,romantic comedy,novel,romance novel,romantic comedy,novel,romance novel,novel,romantic comedy,novel,romance novel,romantic comedy,novel,romance novel,romantic comedy,novel,romance novel,novel,romantic comedy,novel,romance novel,novel,romance novel,romance novel,romance novel,False
